model,split,n,events,threshold,PR_AUC_AP,ROC_AUC,Brier,F1,precision,recall
constant,validation,124,0,0.5,,,0.006310839032202213,0.0,0.0,0.0
constant,test,124,2,0.5,0.016129032258064516,0.5,0.019877265178212405,0.0,0.0,0.0
risk,validation,124,0,0.5,,,0.01564080224203236,0.0,0.0,0.0
risk,test,124,2,0.5,0.017800746482917025,0.3278688524590164,0.03236367758882456,0.0,0.0,0.0
risk_news,validation,124,0,0.5,,,0.01564080224203236,0.0,0.0,0.0
risk_news,test,124,2,0.5,0.017800746482917025,0.3278688524590164,0.03236367758882456,0.0,0.0,0.0
