published_at,rate,delta,title,url
2023-12-15T13:30:00,16,1,Повышение ставки до 16%,https://www.cbr.ru/press/pr/?file=15122023_133000Key.htm
2024-02-16T13:30:00,16,0,Сохранение ставки 16%,https://www.cbr.ru/press/pr/?file=16022024_133000Key.htm
2024-03-22T13:30:00,16,0,Сохранение ставки 16%,https://www.cbr.ru/press/pr/?file=22032024_133000Key.htm
2024-04-26T13:30:00,16,0,Сохранение ставки 16%,https://www.cbr.ru/press/pr/?file=26042024_133000Key.htm
2024-06-07T13:30:00,16,0,Сохранение ставки 16%,https://www.cbr.ru/press/pr/?file=07062024_133000Key.htm
2024-07-26T13:30:00,18,2,Повышение ставки до 18%,https://www.cbr.ru/press/pr/?file=26072024_133000Key.htm
2024-09-13T13:30:00,19,1,Повышение ставки до 19%,https://www.cbr.ru/press/pr/?file=13092024_133000Key.htm
2024-10-25T13:30:00,21,2,Повышение ставки до 21%,https://www.cbr.ru/press/pr/?file=25102024_133000Key.htm
2024-12-20T13:30:00,21,0,Сохранение ставки 21%,https://www.cbr.ru/press/pr/?file=20122024_133000Key.htm
